vessel_identity,section_title,subsection,item_label,value,details,canvas_fragment,image
Frigate,Watch-bill,Fore Topmen,Capt,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Sea,5,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,OS,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Boys,2,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Cox,1,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Sea,6,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,OS,5,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Boys,2,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Capt,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Sea,5,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,OS,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Boys,2,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Cox,1,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Sea,6,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,OS,5,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Fore Topmen,Boys,2,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Capt,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Sea,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,OS,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Boys,2,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Cox,1,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Sea,6,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,OS,6,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Boys,2,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Capt,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Sea,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,OS,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Boys,2,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Cox,1,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Sea,6,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,OS,6,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Topmen,Boys,2,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Main Mastmen,Main Mastmen,Same as Fore Mastmen,"Number, rate, and disposition",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Capt,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Sea,3,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,OS,4,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Boys,2,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Cox,1,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Sea,3,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,OS,4,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Boys,2,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Capt,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Sea,3,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,OS,4,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Boys,2,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Cox,1,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Sea,3,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,OS,4,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Topmen,Boys,2,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Mizen Mastmen,Seaman,2,1 in the first part of each watch,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Capt,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Sea,1,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,OS,6,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Land,19,"Port Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Sea,3,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,OS,6,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Land,18,"Port Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Capt,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Sea,1,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,OS,6,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Land,19,"Starboard Watch, 1st Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Sea,3,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,OS,6,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,After Guard,Land,18,"Starboard Watch, 2d Part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Messenger & Sideboys,10,"3 in 1st part of each watch, 2 in 2d part",,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Boatswains mates,4,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Masters,1,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Gunners mates,2,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Qr Gunners,12,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Carp's mates,2,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Sailmakers mates,1,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Armorer,1,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Cooper,1,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Messenger & Sideboys,Painter,1,placed,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Yeo,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Ships Corporals,2,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Ships Steward,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Capts Stewd,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Capts Cooks,2,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Master Band,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Ward R Cook,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Master Arms,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Ships Cook,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,W R Stewd,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Sergnt Stewd,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Capts Cook,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Bandsmen,10,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
Frigate,Watch-bill,Idlers,Sergt of Marines,1,Idlers,,0003_service:mss:mss23044:mss23044-022:01:0226.jpg
St. Lawrence,Armament,Main Deck,32-pdr,20,57 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
St. Lawrence,Armament,Main Deck,8-in,10,63 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
St. Lawrence,Armament,Spar Deck,32-pdr,16,33 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
St. Lawrence,Armament,Spar Deck,32-pdr,4,57 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Sabine,Armament,Spar Deck,64-pdr pivots,2,12000 lbs each,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Sabine,Armament,Spar Deck,32-pdr,18,33 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Sabine,Armament,Main Deck,32-pdr,18,57 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Sabine,Armament,Main Deck,8-in,10,63 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Merrimac,Armament,Spar Deck,10-in,2,12000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Merrimac,Armament,Spar Deck,8-in,14,63 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Merrimac,Armament,Gun Deck,9-in,24,9000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Wabash,Armament,Spar Deck,10-in,2,12000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Wabash,Armament,Spar Deck,8-in,14,63 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Wabash,Armament,Gun Deck,9-in,24,9000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Roanoke & Colarado,Armament,General,Armament,Same as Merrimac & Wabash,N/A,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Minnesota,Armament,Spar Deck,10-in,1,12000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Minnesota,Armament,Spar Deck,8-in,14,63 cwt,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Minnesota,Armament,Gun Deck,9-in,26,9000 lbs,,0004_service:mss:mss23044:mss23044-022:01:0227.jpg
Razee Sloop,Watch-bill,Forecastle,Capt,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Forecastle,Cox,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Forecastle,Sea,14,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Forecastle,OS,14,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Forecastle,Lands,8,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Mastmen,Sea,2,1 in 1st part of each Watch,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,Captn,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,Cox,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,Sea,10,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,OS,16,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,Lands,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Fore Topmen,Boys,4,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,Capt,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,Cox,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,Sea,10,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,OS,18,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,Lands,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Topmen,Boys,4,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Main Mastmen,Sea,2,1 in 1st Part of each Watch,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Mizen Topmen,Captn,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Mizen Topmen,Cox,1,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Mizen Topmen,Sea,5,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Mizen Topmen,OS,12,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Mizen Topmen,Boys,8,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,After Guard,Captn,2,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,After Guard,Sea,5,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,After Guard,OS,12,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,After Guard,Lands,31,Total,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Messenger & Sideboys,Messenger & Sideboys,6,"2 in 1st part, & 1 in ea 2d part",,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Boatsmates,3,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Qr Masters,6,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Gunr Mate,1,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Qr Gunners,6,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Capts mate,1,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Armorer,1,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Sailmakers mate,1,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Petty Officers,Cooper,1,placed,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Ships Stewd,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,MR Stewd,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Ships Corpls,2,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Ships Cook,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Capts Cook,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Mast Arms,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Yeoman,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Capts Stewd,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Sergt Stewd,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,MR Cook,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
Razee Sloop,Watch-bill,Idlers - Petty Officers,Capt Hold,1,Idler,,0005_service:mss:mss23044:mss23044-022:01:0228.jpg
